2021-04-08 18:26:02 INFO  ********* Starting Test Execution. ***********
2021-04-08 18:28:08 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //a[normalize-space()='Back to Digital Workspace']]
2021-04-08 18:28:08 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //a[normalize-space()='Back to Digital Workspace']]
2021-04-08 18:28:08 INFO  Clicked on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //a[normalize-space()='Back to Digital Workspace']]
2021-04-08 18:28:38 INFO  Clicking on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //a[@href='/user-manager']]
2021-04-08 18:28:38 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //a[@href='/user-manager']]
2021-04-08 18:28:38 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //a[@href='/user-manager']]
2021-04-08 18:28:43 INFO  Clicked on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //a[@href='/user-manager']]
2021-04-08 18:29:03 INFO  Waiting for the element to be clickable : Proxy element for: DefaultElementLocator 'By.xpath: //button[normalize-space()='Search Users']'
2021-04-08 18:29:10 INFO  Clicking on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //button[normalize-space()='Search Users']]
2021-04-08 18:29:10 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //button[normalize-space()='Search Users']]
2021-04-08 18:29:10 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //button[normalize-space()='Search Users']]
2021-04-08 18:29:15 INFO  Clicked on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //button[normalize-space()='Search Users']]
2021-04-08 18:29:15 INFO  Clicking on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //a[normalize-space()='Back to Digital Workspace']]
2021-04-08 18:29:16 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //a[normalize-space()='Back to Digital Workspace']]
2021-04-08 18:29:16 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //a[normalize-space()='Back to Digital Workspace']]
